"Genre","Year","Platform","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Unknown_Sales","Total_Sales"
"Action",1995,"PS",1.32000005245209,0.189999997615814,0,0.0500000007450581,"NULL",1.56
"Action",1995,"PS",0.259999990463257,0.180000007152557,0,0.0299999993294477,"NULL",0.47
"Action",1995,"PS",0,0,0.419999986886978,0.0299999993294477,"NULL",0.45
"Action",1995,"PS",0,0,0.129999995231628,0.00999999977648258,"NULL",0.14
"Action",1995,"PS",0.0599999986588955,0.0399999991059303,0,0.00999999977648258,"NULL",0.11
"Action",1995,"PS",0.0500000007450581,0.0299999993294477,0,0.00999999977648258,"NULL",0.09
"Action",1996,"PS",0.0500000007450581,0.0299999993294477,0,0.00999999977648258,"NULL",0.09
"Action",1996,"PS",0.100000001490116,0.0700000002980232,0,0.00999999977648258,"NULL",0.18
"Action",1996,"PS",0.0900000035762787,0.0599999986588955,0,0.00999999977648258,"NULL",0.16
"Action",1996,"PS",0.0900000035762787,0.0599999986588955,0,0.00999999977648258,"NULL",0.16
"Action",1996,"PS",0.0900000035762787,0.0599999986588955,0,0.00999999977648258,"NULL",0.16
"Action",1996,"PS",0.189999997615814,0.129999995231628,0,0.0199999995529652,"NULL",0.34
"Action",1996,"PS",0.0500000007450581,0.0399999991059303,0.209999993443489,0.0199999995529652,"NULL",0.32
"Action",1996,"PS",0.129999995231628,0.0900000035762787,0,0.0199999995529652,"NULL",0.24
"Action",1996,"PS",0,0,0.360000014305115,0.0199999995529652,"NULL",0.38
"Action",1996,"PS",2.04999995231628,1.1599999666214,1.11000001430511,0.730000019073486,"NULL",5.05
"Action",1996,"PS",2.28999996185303,1.97000002861023,0.129999995231628,0.239999994635582,"NULL",4.63
"Action",1996,"PS",1.82000005245209,1.24000000953674,0.469999998807907,0.25,"NULL",3.78
"Action",1996,"PS",0.449999988079071,0.300000011920929,0.219999998807907,0.0700000002980232,"NULL",1.04
"Action",1996,"PS",0.0199999995529652,0.0199999995529652,0,0,"NULL",0.04
"Action",1996,"PS",0.0199999995529652,0.00999999977648258,0,0,"NULL",0.03
"Action",1996,"PS",0.0199999995529652,0.00999999977648258,0,0,"NULL",0.03
"Action",1996,"PS",0.0199999995529652,0.00999999977648258,0,0,"NULL",0.03
"Action",1997,"PS",0.00999999977648258,0.00999999977648258,0,0,"NULL",0.02
"Action",1997,"PS",0.00999999977648258,0.00999999977648258,0,0,"NULL",0.02
"Action",1997,"PS",0.0199999995529652,0.00999999977648258,0,0,"NULL",0.03
"Action",1997,"PS",0.0399999991059303,0.0299999993294477,0,0,"NULL",0.07
"Action",1997,"PS",0.0399999991059303,0.0299999993294477,0,0,"NULL",0.07
"Action",1997,"PS",0.0299999993294477,0.0199999995529652,0,0,"NULL",0.05
"Action",1997,"PS",0.569999992847443,0.389999985694885,0,0.0700000002980232,"NULL",1.03
"Action",1997,"PS",0.469999998807907,0.319999992847443,0,0.0599999986588955,"NULL",0.85
"Action",1997,"PS",3.78999996185303,0.270000010728836,0,0.109999999403954,"NULL",4.17
"Action",1997,"PS",2.29999995231628,2.46000003814697,0.200000002980232,0.280000001192093,"NULL",5.24
"Action",1997,"PS",1.6599999666214,1.58000004291534,0.119999997317791,0.180000007152557,"NULL",3.54
"Action",1997,"PS",0.790000021457672,1.35000002384186,0.0399999991059303,0.140000000596046,"NULL",2.32
"Action",1997,"PS",0.949999988079071,0.639999985694885,0.270000010728836,0.129999995231628,"NULL",1.99
"Action",1997,"PS",0,0,0.340000003576279,0.0199999995529652,"NULL",0.36
"Action",1997,"PS",0.379999995231628,0.259999990463257,0,0.0399999991059303,"NULL",0.68
